,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,problem_type,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,hamming_string,hamming_obj_func,graph_name
0,6,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.5479400157928467,70,1.3731481012101105,"[1, 1, 1, 0, 0, 1]",3.465723991235798,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[3.56332573 2.69997669],0.18379206189582686,1,[1 1 1 0 0 1],3.465723991235798,>>graph6<<Emz_
1,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.919867753982544,81,1.2328098551076423,"[1, 0, 1, 1, 1, 0, 0, 1, 1]",2.9863808601695845,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.022813   1.08397543],0.01575221124774149,1,[1 0 1 1 1 0 0 1 1],2.9863808601695845,>>graph6<<Hh_iS_u
2,6,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.6132586002349854,70,1.2984430401505362,"[1, 1, 0, 0, 1, 1]",3.277173956354101,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[3.53801167 2.68779155],0.056656738013898006,3,[1 1 0 0 1 1],3.277173956354101,>>graph6<<Emz_
3,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.2857229709625244,78,1.0957703212430256,"[1, 0, 0, 1, 1, 1, 1, 1, 1]",3.365878904587562,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.43267596 2.59574483],0.0,3,[1 0 1 1 1 1 1 1 1],4.067291008540248,>>graph6<<HmzffJz
4,12,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.5881311893463135,76,1.1004230702261377,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0]",5.0312126897671865,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[3.49744224 2.74397825],0.0013789803090309435,3,[1 1 1 1 1 1 1 1 1 1 0 0],5.678443928507239,>>graph6<<KmzffJznl{hU
5,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.0657167434692383,86,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.19966611 2.94886538],0.00032966851984534,3,[1 0 0 1 1 1 0 1 1],3.0123537742047217,>>graph6<<Hh_iS_u
6,6,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.5103223323822021,68,1.4152210527862246,"[1, 1, 0, 1, 1, 1]",3.5719130013876814,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[2.61080946 3.28368002],0.000754615894341205,5,[1 0 0 1 1 1],2.8018517837862706,>>graph6<<Emz_
7,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,16.09692692756653,964,1.0506212894982383,"[1, 1, 1, 1, 0, 1, 0, 0, 1]",3.2271945739698595,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.20879026 2.09883594],0.0,5,[1 1 1 1 0 1 0 0 1],3.2271945739698595,>>graph6<<HmzffJz
8,12,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,2.6733438968658447,84,1.895567871233174,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0]",8.666671379493575,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[3.52439797 2.74792929],0.0005290605790862366,5,[1 1 1 1 1 1 1 1 0 1 0 1],5.5421664605527114,>>graph6<<KmzffJznl{hU
9,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.2402372360229492,97,1.1187558625531626,"[0, 1, 1, 1, 0, 1, 1, 0, 0]",2.7100944085489638,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.43848662 2.33014234],0.011455546952490403,5,[0 1 1 1 1 1 1 1 1],4.224647295315506,>>graph6<<Hh_iS_u
10,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,66.930579662323,4456,1.0957703212430256,"[1, 0, 0, 1, 1, 1, 1, 1, 1]",3.365878904587562,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.42952514 2.59244631],0.0,1,[1 1 0 1 1 1 1 1 1],3.869671922827154,>>graph6<<HmzffJz
11,12,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,139.01470184326172,5000,1.1138425620578223,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",5.092567562652507,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[3.14151089 1.89125127],0.004951031302823461,1,[1 1 0 0 1 1 1 1 1 1 1 1],5.092567562652507,>>graph6<<KmzffJznl{hU
12,6,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,112.84202671051025,5000,1.4210225796633162,"[1, 1, 1, 1, 1, 0]",3.5865556250537063,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[2.34439461 1.4042686  3.22568475 1.39166848 3.27972299 2.07252241
 3.96827438 2.00368007]",0.06979074644928691,1,[1 1 1 0 1 0],3.2918165800201256,>>graph6<<Emz_
13,9,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,174.15144681930542,3889,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[2.52894842 1.71612261 2.78233326 1.55782993 3.06847275 1.50118898
 3.1673494  1.36402079]",0.0,1,[1 1 0 1 1 1 1 1 1],3.869671922827154,>>graph6<<HmzffJz
14,12,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,76.98718762397766,1175,1.1138425620578223,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",5.092567562652507,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,"[2.2870336  1.7423182  3.19807884 1.58726333 2.97598158 2.91687294
 3.71392483 1.65644512]",0.009430309334822874,1,[1 1 0 0 1 1 1 1 1 1 1 1],5.092567562652507,>>graph6<<KmzffJznl{hU
15,9,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,173.31979084014893,5000,1.295374116316499,"[1, 1, 1, 0, 1, 0, 0, 1, 1]",3.1379376565649753,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[2.50835627 3.02466297 4.24642135 1.19122687 3.15700775 3.01061616
 3.33779235 3.11356371]",0.0916613169762847,1,[1 1 1 0 1 0 0 1 1],3.1379376565649753,>>graph6<<Hh_iS_u
16,6,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,110.22959589958191,5000,1.2984430401505362,"[1, 1, 0, 0, 1, 1]",3.277173956354101,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.14578691 2.42605899 3.1080351  1.52274668 4.63288935 1.72515494
 4.55681551 1.60788414]",0.0008551477997707081,3,[1 1 1 1 1 1],4.528353764313619,>>graph6<<Emz_
17,9,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,77.18469548225403,1795,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[2.30069908 1.71934892 3.28302413 1.49719248 3.1006502  3.13693675
 2.9445495  1.17734339]",0.0,3,[1 1 1 1 1 1 1 1 0],4.285298987614783,>>graph6<<HmzffJz
18,6,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,112.19679355621338,5000,1.4152210527862246,"[1, 1, 0, 1, 1, 1]",3.5719130013876814,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.72398329 1.37537796 2.82611861 2.19056947 3.13754295 1.55768423
 2.98125224 1.60658596]",0.024069495962426916,5,[1 0 0 1 1 1],2.8018517837862706,>>graph6<<Emz_
19,6,statevector,gaussian,vanilla,COBYLA,True,7,minvertexcover,5000,1e-08,2,134.23544597625732,5000,1.4782248416467056,"[0, 1, 1, 1, 1, 1]",3.7309298928650803,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.80578294 1.87367682 2.66696048 1.49238005 2.61345204 2.15747243
 4.06656804 1.59075875 3.53181926 1.78570453 2.88939278 1.68778184
 2.81946568 3.00076965]",0.049241474064353176,3,[1 1 0 0 1 1],3.277173956354101,>>graph6<<Emz_
20,9,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,181.03526210784912,5000,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[2.52501023 1.87747338 2.76208642 1.60213215 2.96096874 2.06067321
 3.29654486 0.98799709]",0.001866606091333851,3,[1 1 1 0 1 1 1 1 1],4.1165723619115635,>>graph6<<Hh_iS_u
21,9,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,215.65081405639648,5000,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[2.48338212 1.84836833 3.20761887 1.86887557 3.13819134 2.16535214
 3.56991991 2.59104077]",0.0,5,[1 1 1 1 0 0 0 1 1],3.1774699052178863,>>graph6<<HmzffJz
22,9,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,174.61927485466003,5000,1.7538356253760075,"[1, 1, 1, 1, 1, 1, 1, 0, 1]",4.2485230968965135,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[2.49322592 2.5828115  4.70400509 1.57919861 3.17157179 2.29085622
 2.94661574 0.77685121]",0.00015725455154620642,5,[1 1 1 1 1 1 1 0 1],4.2485230968965135,>>graph6<<Hh_iS_u
23,6,statevector,gaussian,vanilla,COBYLA,True,7,minvertexcover,5000,1e-08,2,182.11822891235352,5000,1.1101165201001477,"[1, 0, 0, 1, 1, 1]",2.8018517837862706,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.05777428 0.96089611 3.86620984 2.1645531  2.81321573 1.29773669
 3.28834761 2.18056882 4.02910624 1.62374859 3.02814557 1.88031724
 2.8836622  1.44645767]",0.0009873827967095002,1,[1 1 1 1 0 0],2.8186648970094663,>>graph6<<Emz_
24,9,statevector,gaussian,vanilla,COBYLA,True,7,minvertexcover,5000,1e-08,2,279.81117391586304,5000,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[4.87303494 0.78320577 2.75107516 1.548661   3.32274216 1.39426362
 3.22262974 2.92415043 3.29477614 1.34191102 3.07971248 1.60659686
 3.36696219 1.49430662]",0.0,1,[1 1 1 0 1 1 1 1 1],3.773113207126715,>>graph6<<HmzffJz
25,9,statevector,gaussian,vanilla,COBYLA,True,7,minvertexcover,5000,1e-08,2,279.7709755897522,5000,1.2066878910943655,"[1, 0, 1, 0, 1, 0, 1, 1, 1]",2.923102542725832,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.95492554 2.08249754 4.12637169 1.37242127 3.13945866 1.51820554
 3.20640143 2.96267573 3.32773374 0.95754011 3.20679717 2.46497172
 3.70113435 2.34856513]",0.0023947455210785134,1,[1 0 1 0 1 0 1 1 1],2.923102542725832,>>graph6<<Hh_iS_u
26,9,statevector,gaussian,vanilla,COBYLA,True,7,minvertexcover,5000,1e-08,2,312.57588362693787,5000,1.3964045789744701,"[1, 1, 1, 1, 1, 1, 1, 0, 1]",4.289337485713146,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[4.74742465 0.6770159  2.70613682 1.54022984 2.73405052 1.49804919
 3.11094965 2.98142612 3.25059267 2.88524815 3.07069691 1.99857136
 3.11040247 2.49870478]",0.0,3,[1 1 1 1 1 1 1 0 1],4.289337485713146,>>graph6<<HmzffJz
27,9,statevector,gaussian,vanilla,COBYLA,True,7,minvertexcover,5000,1e-08,2,274.33763551712036,5000,1.6368006941170803,"[1, 0, 1, 1, 1, 1, 1, 1, 1]",3.9650155655161727,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.01032607 1.32531832 3.09484573 1.73460708 3.78608689 1.64778317
 3.43225324 1.53972653 3.12643396 2.8967388  3.37306773 1.68101628
 2.28552966 0.70543682]",0.004780452535058955,3,[1 1 1 0 1 1 1 1 1],4.1165723619115635,>>graph6<<Hh_iS_u
28,6,statevector,gaussian,vanilla,COBYLA,True,7,minvertexcover,5000,1e-08,2,136.1247673034668,5000,1.1101165201001477,"[1, 0, 0, 1, 1, 1]",2.8018517837862706,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.93351854 2.28270088 3.41529464 1.88359308 4.44832593 1.71662755
 3.05671867 1.32637023 2.96595769 1.55991278 3.08596743 1.5672379
 3.57511194 1.68107056]",0.018455516546015845,5,[1 0 0 1 1 1],2.8018517837862706,>>graph6<<Emz_
29,6,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.4389364719390869,72,1.0,"[1, 1, 1, 0, 0, 0]",2.5239258519758856,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[3.57014382 2.70219751],0.22430518709516648,1,[1 1 1 0 1 0],3.2918165800201256,>>graph6<<Emz_
30,6,statevector,gaussian,vanilla,COBYLA,True,10,minvertexcover,5000,1e-08,2,191.73670029640198,5000,1.1101165201001477,"[1, 0, 0, 1, 1, 1]",2.8018517837862706,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.73277677 2.50649415 2.64714449 1.87808598 3.23082459 1.94730972
 3.72971216 1.5022286  2.93075034 2.78438385 3.18958791 1.39039031
 3.32029662 1.45447619 3.30259876 1.35233391 2.90735236 1.4977141
 2.80732641 2.0150749 ]",0.006708307309064417,1,[1 1 1 0 1 0],3.2918165800201256,>>graph6<<Emz_
31,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.6892123222351074,67,1.5710182561075887,"[1, 1, 1, 0, 0, 0, 1, 0, 1]",4.82569851039222,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.4162165  2.62465319],0.0,1,[1 1 1 0 1 1 1 1 1],3.773113207126715,>>graph6<<HmzffJz
32,12,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,2.7357819080352783,91,1.4589483090161703,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0]",6.6704156288981675,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[3.5023808  2.75212136],0.006012951277669647,1,[1 1 1 0 1 1 1 1 1 1 1 0],5.404255643449057,>>graph6<<KmzffJznl{hU
33,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.5980901718139648,71,1.2328098551076423,"[1, 0, 1, 1, 1, 0, 0, 1, 1]",2.9863808601695845,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[3.27141602 1.61119666],0.024659547632260415,1,[1 0 1 1 1 0 0 1 1],2.9863808601695845,>>graph6<<Hh_iS_u
34,6,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.38564181327819824,69,1.3731481012101105,"[1, 1, 1, 0, 0, 1]",3.465723991235798,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[3.44849101 2.59953377],0.06237304019842999,3,[1 1 1 1 1 1],4.528353764313619,>>graph6<<Emz_
35,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.0158448219299316,70,1.8294849150980688,"[1, 1, 1, 1, 0, 0, 1, 1, 0]",5.619630831946983,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.41790311 2.6289885 ],0.0,3,[1 1 1 1 0 1 1 1 1],4.236887080930709,>>graph6<<HmzffJz
36,12,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.7210853099822998,83,1.4589483090161703,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0]",6.6704156288981675,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[3.5176289  2.75792736],0.0012353583298972547,3,[1 1 1 0 0 1 1 1 1 1 1 1],5.545910709957303,>>graph6<<KmzffJznl{hU
37,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.0365550518035889,78,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.12676036 2.89230991],0.0017419424485013003,3,[1 1 1 1 1 0 0 0 1],3.2698883915499253,>>graph6<<Hh_iS_u
38,6,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.5328741073608398,79,1.7857548133691183,"[1, 0, 0, 0, 1, 1]",4.50711273875269,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,[3.53038736 2.66658268],0.02244369747422624,5,[1 0 0 1 1 1],2.8018517837862706,>>graph6<<Emz_
39,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.1550209522247314,81,1.5938150229175538,"[1, 1, 1, 1, 0, 0, 0, 0, 1]",4.895723364151191,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,[3.50885237 2.71383666],0.0,5,[1 1 1 1 0 0 0 1 1],3.1774699052178863,>>graph6<<HmzffJz
40,12,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,356.8678946495056,5000,1.185458831635042,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",5.420002250310091,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,"[3.19776162 1.61575231 4.10362395 1.57687742 3.73871796 2.72409326
 2.87909804 1.43573812]",0.012429516756035238,3,[1 0 0 1 1 1 1 1 1 1 1 1],5.53209442247339,>>graph6<<KmzffJznl{hU
41,12,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,367.26731181144714,5000,1.4813161392722909,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.772682942690512,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,"[3.13703793 1.46402739 2.41132895 1.58195019 4.08218044 2.26367431
 3.13722833 2.51888641]",0.0037745015165444764,5,[1 1 1 1 1 1 1 0 1 1 0 1],5.551708995559122,>>graph6<<KmzffJznl{hU
42,9,statevector,gaussian,vanilla,COBYLA,True,7,minvertexcover,5000,1e-08,2,349.48787569999695,5000,1.143231952952182,"[1, 1, 1, 1, 1, 0, 0, 1, 1]",3.5116668510670173,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[4.50543435 2.38954799 3.42149236 1.51014298 2.60562367 1.54672303
 3.16238687 2.8111387  3.43447599 0.8429988  2.84719162 1.52357471
 3.11329544 2.4137596 ]",0.0,5,[1 1 1 1 0 1 0 0 1],3.2271945739698595,>>graph6<<HmzffJz
43,9,statevector,gaussian,vanilla,COBYLA,True,7,minvertexcover,5000,1e-08,2,280.32316184043884,5000,1.5111695848500095,"[0, 1, 1, 0, 1, 1, 1, 1, 1]",3.6606844972637256,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[3.99231525 1.4704715  3.15631086 1.77064418 2.067152   1.60854687
 3.10381948 1.70239856 3.12868605 2.39449225 3.8954559  1.50466542
 2.96710146 1.20336974]",8.970684782713177e-05,5,[1 1 1 1 0 1 1 1 1],4.046084796912234,>>graph6<<Hh_iS_u
44,6,statevector,gaussian,vanilla,COBYLA,True,10,minvertexcover,5000,1e-08,2,243.61665725708008,5000,1.4152210527862246,"[1, 1, 0, 1, 1, 1]",3.5719130013876814,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[2.76509592 1.52888786 3.44502882 3.07161409 3.06840143 1.89044116
 3.92142702 1.8883091  3.58627056 1.51882227 3.27551478 1.96256631
 3.1702036  1.76915296 3.1239492  1.36092106 3.15546192 1.58803732
 2.8493656  1.96068165]",0.01191590834190949,3,[1 1 0 0 1 1],3.277173956354101,>>graph6<<Emz_
45,6,statevector,gaussian,vanilla,COBYLA,True,10,minvertexcover,5000,1e-08,2,191.33653235435486,5000,1.1101165201001477,"[1, 0, 0, 1, 1, 1]",2.8018517837862706,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[4.06203544 1.29575759 2.98641319 1.75907276 2.68771638 1.76569207
 3.50015588 1.02209058 2.97401271 1.98613344 3.34214461 2.29498862
 4.15778855 1.19831718 3.23043522 1.51001569 2.96681929 1.55076334
 4.5930303  1.28662957]",0.02341577451718191,5,[1 0 0 1 1 1],2.8018517837862706,>>graph6<<Emz_
46,12,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,1.9264183044433594,94,1.6146006349564384,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]",7.382069154393159,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,[3.52463374 2.75043028],0.00018551651354679986,5,[1 1 1 1 1 0 1 1 0 1 1 1],5.76091039367685,>>graph6<<KmzffJznl{hU
47,9,statevector,gaussian,vanilla,COBYLA,True,1,minvertexcover,5000,1e-08,2,0.6989011764526367,68,1.9321748104335792,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.680535159963345,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,[2.75169032 3.1349454 ],9.336394815005008e-06,5,[1 1 1 1 1 1 1 0 1],4.2485230968965135,>>graph6<<Hh_iS_u
48,6,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,56.74677133560181,3068,1.1167780126356885,"[1, 1, 1, 1, 0, 0]",2.8186648970094663,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.19228177 1.55556728 3.32456177 1.45315579 4.25415403 1.69939377
 4.35577308 2.50223243]",0.10994659011242751,1,[1 1 1 1 0 0],2.8186648970094663,>>graph6<<Emz_
49,6,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,80.95227074623108,5000,1.2984430401505362,"[1, 1, 0, 0, 1, 1]",3.277173956354101,"[1.0, 1.0, 1.0, 0, 0, 0]",2.5239258519758856,"[3.69921151 1.82535455 3.10641799 1.32025106 2.86007263 2.77313957
 4.38033528 1.80742885]",0.0352966706537646,3,[1 1 0 0 1 1],3.277173956354101,>>graph6<<Emz_
50,12,statevector,gaussian,vanilla,COBYLA,True,7,minvertexcover,5000,1e-08,2,586.0496981143951,5000,1.1820147455794265,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",5.404255643449057,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0]",4.572071256860571,"[3.53191956 1.69942752 3.2931645  1.78341788 3.13350491 3.1338635
 3.75025151 1.2998242  2.81756997 1.76469465 3.29916821 1.51696374
 2.97977847 1.73610265]",0.006158516750346609,1,[1 1 0 0 1 1 1 1 1 1 1 1],5.092567562652507,>>graph6<<KmzffJznl{hU
51,9,statevector,gaussian,vanilla,COBYLA,True,10,minvertexcover,5000,1e-08,2,474.3067932128906,5000,1.2283464700481135,"[1, 1, 1, 0, 1, 1, 1, 1, 1]",3.773113207126715,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[4.31450376 1.65886753 2.76073147 1.36047862 3.46671877 1.40196009
 3.1396546  1.60965312 2.3894112  1.61521392 3.25579731 1.8170416
 3.10758376 1.78105672 3.39827614 2.1231565  4.33886699 1.88447185
 3.12526564 1.15691384]",0.0,1,[1 1 1 0 1 1 1 1 1],3.773113207126715,>>graph6<<HmzffJz
52,9,statevector,gaussian,vanilla,COBYLA,True,10,minvertexcover,5000,1e-08,2,399.6063275337219,5000,1.1187558625531626,"[0, 1, 1, 1, 0, 1, 1, 0, 0]",2.7100944085489638,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.05088742 1.45286341 3.89503879 1.56045229 3.46171756 1.62350097
 3.32071913 1.75270619 3.55647987 1.48404079 3.11570191 2.73876952
 3.18398788 2.90991785 2.45397275 1.33923557 3.09966632 1.20621032
 2.80118044 1.35906084]",0.00031623556083662654,1,[1 1 1 0 1 0 0 1 1],3.1379376565649753,>>graph6<<Hh_iS_u
53,9,statevector,gaussian,vanilla,COBYLA,True,10,minvertexcover,5000,1e-08,2,382.5613284111023,5000,1.6702669370682193,"[1, 1, 1, 1, 0, 1, 1, 1, 1]",4.046084796912234,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0]",2.4224180621178033,"[4.27900135 1.69229376 3.02996688 1.72618608 2.64445858 2.1205298
 3.12852832 2.44165982 3.18979123 1.75389218 3.2485273  1.17060512
 3.89561037 1.72213202 3.07701285 1.01069181 4.05914236 2.07137758
 3.87212351 1.79486354]",0.0005817949079921407,3,[1 0 1 1 1 1 1 1 1],3.9650155655161727,>>graph6<<Hh_iS_u
54,9,statevector,gaussian,vanilla,COBYLA,True,4,minvertexcover,5000,1e-08,2,179.77348589897156,5000,1.4881278722257445,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",4.5710840267798405,"[1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0]",3.0717011031740293,"[2.77088137 1.60868456 2.61665366 1.53477522 3.07236271 3.21956931
 3.11440974 1.5537851 ]",0.0,1,[1 1 0 1 1 1 1 1 1],3.869671922827154,>>graph6<<HmzffJz
